Metadata_Batch,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_FieldID,Metadata_plate_map_name,Metadata_broad_sample,Metadata_genes,Metadata_pert_type,Metadata_control_type,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_cell_line,Metadata_timepoint,Metadata_experiment_type,Metadata_experiment_condition,Metadata_replicate_id,Metadata_negcon_control_type,Metadata_target_sequence,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_target,Metadata_pert_iname,Metadata_pubchem_cid,Metadata_InChIKey,Metadata_gene,Metadata_negcon_or_other,Metadata_negcon_control_type_trimmed,FileName_OrigRNA,FileName_OrigER,FileName_OrigAGP,FileName_OrigMito,FileName_OrigBrightfield,FileName_OrigHighZBF,FileName_OrigLowZBF,FileName_OrigDNA
2020_11_04_CPJUMP1,BR00117024,D03,1,1,C-7210-01-CMP-013,BRD-K68143200-001-11-7,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.5519,5,DMSO,CDC25A,NSC-95397,262093,MAASHDQFQDDECQ-UHFFFAOYSA-N,NA,pert,NA,r04c03f01p01-ch3sk1fk1fl1.tiff,r04c03f01p01-ch4sk1fk1fl1.tiff,r04c03f01p01-ch2sk1fk1fl1.tiff,r04c03f01p01-ch1sk1fk1fl1.tiff,r04c03f01p01-ch8sk1fk1fl1.tiff,r04c03f01p01-ch6sk1fk1fl1.tiff,r04c03f01p01-ch7sk1fk1fl1.tiff,r04c03f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D04,1,1,C-7210-01-CMP-013,BRD-K35498378-001-06-1,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.2761,5,DMSO,AKR1B1,alrestatin,2120,GCUCIFQCGJIRNT-UHFFFAOYSA-N,NA,pert,NA,r04c04f01p01-ch3sk1fk1fl1.tiff,r04c04f01p01-ch4sk1fk1fl1.tiff,r04c04f01p01-ch2sk1fk1fl1.tiff,r04c04f01p01-ch1sk1fk1fl1.tiff,r04c04f01p01-ch8sk1fk1fl1.tiff,r04c04f01p01-ch6sk1fk1fl1.tiff,r04c04f01p01-ch7sk1fk1fl1.tiff,r04c04f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D05,1,1,C-7210-01-CMP-013,BRD-K37764012-001-03-3,NA,control,poscon_diverse,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,2.4531,5,DMSO,PAK4,PF-03758309,25227462,AYCPARAPKDAOEN-LJQANCHMSA-N,NA,pert,NA,r04c05f01p01-ch3sk1fk1fl1.tiff,r04c05f01p01-ch4sk1fk1fl1.tiff,r04c05f01p01-ch2sk1fk1fl1.tiff,r04c05f01p01-ch1sk1fk1fl1.tiff,r04c05f01p01-ch8sk1fk1fl1.tiff,r04c05f01p01-ch6sk1fk1fl1.tiff,r04c05f01p01-ch7sk1fk1fl1.tiff,r04c05f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D06,1,1,C-7210-01-CMP-013,BRD-K98357249-001-02-9,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,2.8684,5,DMSO,EDNRB,IRL-2500,5311192,UZDORQWMYRRLQV-JHOUSYSJSA-N,NA,pert,NA,r04c06f01p01-ch3sk1fk1fl1.tiff,r04c06f01p01-ch4sk1fk1fl1.tiff,r04c06f01p01-ch2sk1fk1fl1.tiff,r04c06f01p01-ch1sk1fk1fl1.tiff,r04c06f01p01-ch8sk1fk1fl1.tiff,r04c06f01p01-ch6sk1fk1fl1.tiff,r04c06f01p01-ch7sk1fk1fl1.tiff,r04c06f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D07,1,1,C-7210-01-CMP-013,BRD-K73319509-001-08-0,NA,control,poscon_cp,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.8619,5,DMSO,MET,PF-04217903,17754438,PDMUGYOXRHVNMO-UHFFFAOYSA-N,NA,pert,NA,r04c07f01p01-ch3sk1fk1fl1.tiff,r04c07f01p01-ch4sk1fk1fl1.tiff,r04c07f01p01-ch2sk1fk1fl1.tiff,r04c07f01p01-ch1sk1fk1fl1.tiff,r04c07f01p01-ch8sk1fk1fl1.tiff,r04c07f01p01-ch6sk1fk1fl1.tiff,r04c07f01p01-ch7sk1fk1fl1.tiff,r04c07f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D08,1,1,C-7210-01-CMP-013,BRD-K58550667-001-08-7,NA,control,poscon_diverse,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.9575,5,DMSO,NAMPT,FK-866,6914657,KPBNHDGDUADAGP-VAWYXSNFSA-N,NA,pert,NA,r04c08f01p01-ch3sk1fk1fl1.tiff,r04c08f01p01-ch4sk1fk1fl1.tiff,r04c08f01p01-ch2sk1fk1fl1.tiff,r04c08f01p01-ch1sk1fk1fl1.tiff,r04c08f01p01-ch8sk1fk1fl1.tiff,r04c08f01p01-ch6sk1fk1fl1.tiff,r04c08f01p01-ch7sk1fk1fl1.tiff,r04c08f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D09,1,1,C-7210-01-CMP-013,BRD-K29530284-001-06-2,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.4915,5,DMSO,FGF1,amlexanox,2161,SGRYPYWGNKJSDL-UHFFFAOYSA-N,NA,pert,NA,r04c09f01p01-ch3sk1fk1fl1.tiff,r04c09f01p01-ch4sk1fk1fl1.tiff,r04c09f01p01-ch2sk1fk1fl1.tiff,r04c09f01p01-ch1sk1fk1fl1.tiff,r04c09f01p01-ch8sk1fk1fl1.tiff,r04c09f01p01-ch6sk1fk1fl1.tiff,r04c09f01p01-ch7sk1fk1fl1.tiff,r04c09f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D10,1,1,C-7210-01-CMP-013,BRD-K37864785-001-01-0,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.9877,5,DMSO,ELANE,GW-311616,9800961,NDNKNUMSTIMSHQ-URZKGLGPSA-N,NA,pert,NA,r04c10f01p01-ch3sk1fk1fl1.tiff,r04c10f01p01-ch4sk1fk1fl1.tiff,r04c10f01p01-ch2sk1fk1fl1.tiff,r04c10f01p01-ch1sk1fk1fl1.tiff,r04c10f01p01-ch8sk1fk1fl1.tiff,r04c10f01p01-ch6sk1fk1fl1.tiff,r04c10f01p01-ch7sk1fk1fl1.tiff,r04c10f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D11,1,1,C-7210-01-CMP-013,BRD-K42191735-001-08-7,NA,control,poscon_diverse,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,2.052,5,DMSO,PIK3CG,buparlisib,16654980,CWHUFRVAEUJCEF-UHFFFAOYSA-N,NA,pert,NA,r04c11f01p01-ch3sk1fk1fl1.tiff,r04c11f01p01-ch4sk1fk1fl1.tiff,r04c11f01p01-ch2sk1fk1fl1.tiff,r04c11f01p01-ch1sk1fk1fl1.tiff,r04c11f01p01-ch8sk1fk1fl1.tiff,r04c11f01p01-ch6sk1fk1fl1.tiff,r04c11f01p01-ch7sk1fk1fl1.tiff,r04c11f01p01-ch5sk1fk1fl1.tiff
2020_11_04_CPJUMP1,BR00117024,D12,1,1,C-7210-01-CMP-013,BRD-K97181089-003-24-7,NA,trt,NA,BR00117024,C-7210-01-CMP-013,U2OS,24,Compound,Standard,2,NA,NA,1.3304,5,DMSO,ASIC1,amiloride,16231,XSDQTOBWRPYKKA-UHFFFAOYSA-N,NA,pert,NA,r04c12f01p01-ch3sk1fk1fl1.tiff,r04c12f01p01-ch4sk1fk1fl1.tiff,r04c12f01p01-ch2sk1fk1fl1.tiff,r04c12f01p01-ch1sk1fk1fl1.tiff,r04c12f01p01-ch8sk1fk1fl1.tiff,r04c12f01p01-ch6sk1fk1fl1.tiff,r04c12f01p01-ch7sk1fk1fl1.tiff,r04c12f01p01-ch5sk1fk1fl1.tiff
