Metadata_Plate,Metadata_Well,Metadata_Channel,filename,URL
BR00117022,H07,URL_OrigDNA,r08c07f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c07f01p01-ch5sk1fk1fl1.tiff
BR00117022,H08,URL_OrigDNA,r08c08f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c08f01p01-ch5sk1fk1fl1.tiff
BR00117022,H09,URL_OrigDNA,r08c09f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c09f01p01-ch5sk1fk1fl1.tiff
BR00117022,H10,URL_OrigDNA,r08c10f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c10f01p01-ch5sk1fk1fl1.tiff
BR00117022,H11,URL_OrigDNA,r08c11f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c11f01p01-ch5sk1fk1fl1.tiff
BR00117022,H12,URL_OrigDNA,r08c12f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c12f01p01-ch5sk1fk1fl1.tiff
BR00117022,H13,URL_OrigDNA,r08c13f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c13f01p01-ch5sk1fk1fl1.tiff
BR00117022,H14,URL_OrigDNA,r08c14f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c14f01p01-ch5sk1fk1fl1.tiff
BR00117022,H15,URL_OrigDNA,r08c15f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c15f01p01-ch5sk1fk1fl1.tiff
BR00117022,H16,URL_OrigDNA,r08c16f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/jump-cellpainting/projects/2019_07_11_JUMP-CP-pilots/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/r08c16f01p01-ch5sk1fk1fl1.tiff
